URL,Product,ProductCode,PriceIncVAT,PriceExcVAT,SalesUnit,Manufacturer,SellingUnitDesc
https://www.grantandstone.co.uk/40mm-running-trap-75mm-seal-prt2d-prt2d,40Mm Running Trap 75Mm Seal Prt2D,PRT2D,£20.32,£16.93,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/15mm-x-1-2-fi-tap-connector-flexi-with-metal-isolating-valve-300mm-ftc15metaliso,15Mm X 1/2 Fi Tap Connector Flexi With Metal Isolating Valve 300Mm,FTC15METALISO,£7.56,£6.30,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/32x32mm-straight-through-trap-1-clean-eye-wst1,32X32mm Straight Through Trap & 1 Clean Eye,WST1,£21.41,£17.84,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/washing-machine-half-trap-75mm-seal-adapt-ppwpwm2,Washing Machine Half Trap 75mm Seal & Adapt,PPWPWM2,£23.92,£19.93,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/28mm-brass-cxc-bs5154-gatevalve-tcb15281,28mm Brass Cxc Bs5154 Gatevalve,TCB15281,£17.23,£14.36,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/40mm-washing-machine-trap-c-w-0-6m-pipe-wt59-wt59,40Mm Washing Machine Trap C/W 0.6M Pipe Wt59,WT59,£26.28,£21.90,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/15mm-brass-cxc-lockshield-gatevalve-tcb1515ls,15Mm Brass Cxc Lockshield Gatevalve,TCB1515LS,£6.96,£5.80,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-brass-cxc-lockshield-gatevalve-tcb1522ls,22Mm Brass Cxc Lockshield Gatevalve,TCB1522LS,£8.82,£7.35,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/28mm-brass-cxc-lockshield-gatevalve-tcb1528ls,28Mm Brass Cxc Lockshield Gatevalve,TCB1528LS,£20.32,£16.93,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/28mm-gate-type-pump-valve-tcb1528pi,28Mm Gate Type Pump Valve,TCB1528PI,£16.30,£13.58,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-gate-type-pump-valve-tcb1524pi,22Mm Gate Type Pump Valve,TCB1524PI,£8.33,£6.94,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/1-25-brass-flanged-plug-tcx1129,1.25 Brass Flanged Plug,TCX1129,£4.49,£3.74,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/22mm-perfect-pump-valve-with-shut-off-pair-tcbppv22,22mm Perfect Pump Valve With Shut Off (Pair),TCBPPV22,£22.44,£18.70,Sold by / EA,ROB POND LIMITED,Each
https://www.grantandstone.co.uk/1-brass-flanged-plug-tcx1125,1 Brass Flanged Plug,TCX1125,£2.90,£2.42,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/1-50-brass-flanged-plug-tcx1130,1.50 Brass Flanged Plug,TCX1130,£5.02,£4.18,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/1-2-brass-back-nut-tcb-sbk12,1/2 Brass Back Nut,TCB SBK12,£0.97,£0.81,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/topsleeve-wool-wrap-around-7-2mtr-x-1-tswrap-1,Topsleeve Wool Wrap Around 7.2Mtr x 1,TSWRAP/1,£7.72,£6.43,Sold by / EA,Topsleeve Global International Ltd,Each
https://www.grantandstone.co.uk/3-4-compression-olive-cfi65-75,"3/4"" Compression Olive",CFI65/.75,£1.73,£1.44,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/28mm-compression-olive-cfi65-28mm,28mm Compression Olive,CFI65/28MM,£0.96,£0.80,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/15-22-topsleeve-wool-pipe-lagging-7-2mtr-x-1-slip-on-tspl15-22-1,15-22 Topsleeve Wool Pipe Lagging 7.2Mtr x 1 Slip On,TSPL15-22/1,£5.99,£4.99,Sold by / EA,Topsleeve Global International Ltd,Each
https://www.grantandstone.co.uk/endfeed-22mm-45deg-elbow-enf107-45-22,Endfeed 22mm 45Deg Elbow,ENF107/45/22,£2.05,£1.71,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-15mm-x-1-2mi-straight-adaptor-enf201m-15x-5,Endfeed 15mm X 1/2Mi Straight Adaptor,ENF201M/15X.5,£2.11,£1.76,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/15mm-x-19mm-wall-climaflex-lagging-2mtr-foam-grey-plf15x19f-lag,15Mm X 19Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF15X19F/LAG,£10.33,£8.61,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/basket-strainer-waste-st-steel-1-5x3-5-wsb02ss-wstbas-str,Basket Strainer Waste St/Steel 1.5X3.5 Wsb02Ss,WSTBAS/STR,£17.03,£14.19,Sold by / EA,Cme Sanitary Systems,Each
https://www.grantandstone.co.uk/28mm-x-13mm-wall-climaflex-lagging-2mtr-foam-grey-plf28x13f-lag,28Mm X 13Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF28X13F/LAG,£8.94,£7.45,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/15mm-x-3-4-fi-tap-connector-flexi-300mm-long-ftc-15-75-12,15Mm X 3/4 Fi Tap Connector Flexi 300Mm Long,FTC 15/.75/12,£5.58,£4.65,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-x-13mm-wall-climaflex-lagging-2mtr-foam-grey-plf22x13f-lag,22Mm X 13Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF22X13F/LAG,£5.89,£4.91,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/15mm-x-13mm-wall-climaflex-lagging-2mtr-foam-grey-plf15x13f-lag,15Mm X 13Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF15X13F/LAG,£5.51,£4.59,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/28mm-x-9mm-wall-climaflex-lagging-2mtr-foam-grey-plf28x9f-lag,28Mm X 9Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF28X9F/LAG,£7.24,£6.03,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/22mm-x-9mm-wall-climaflex-lagging-2mtr-foam-grey-plf22x9f-lag,22Mm X 9Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF22X9F/LAG,£6.89,£5.74,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/15mm-x-9mm-wall-climaflex-lagging-2mtr-foam-grey-plf15x9f-lag,15Mm X 9Mm Wall Climaflex Lagging 2Mtr Foam Grey,PLF15X9F/LAG,£4.81,£4.01,Sold by / EA,Davant Products Ltd,Each
https://www.grantandstone.co.uk/15mm-1-2-bsp-brass-cap-cfi63b-15mm,15Mm/ 1/2 Bsp Brass Cap,CFI63B/15MM,£2.16,£1.80,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/3-4-brass-cap-cfi63b-75,3/4 Brass Cap,CFI63B/.75,£2.98,£2.48,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/endfeed-28mm-90deg-elbow-enf107-28,Endfeed 28mm 90Deg Elbow,ENF107/28,£2.03,£1.69,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-15mm-45deg-elbow-enf107-45-15,Endfeed 15mm 45Deg Elbow,ENF107/45/15,£0.91,£0.76,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-28mm-x-15mm-fitting-reducer-enf102-28x15,Endfeed 28mm X 15mm Fitting Reducer,ENF102/28X15,£5.02,£4.18,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/endfeed-22mm-x-15mm-fitting-reducer-enf102-22x15,Endfeed 22mm X 15mm Fitting Reducer,ENF102/22X15,£1.26,£1.05,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-x-1-mi-straight-adaptor-compression-cfi302-22x1,22mm X 1 Mi Straight Adaptor Compression,CFI302/22X1,£4.63,£3.86,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/endfeed-28mm-x-22mm-fitting-reducer-enf102-28x22,Endfeed 28mm X 22mm Fitting Reducer,ENF102/28X22,£1.66,£1.38,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-x-3-4mi-straight-adaptor-compression-cfi302-22x3-4,22mm X 3/4Mi Straight Adaptor Compression,CFI302/22X3/4,£3.70,£3.08,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/endfeed-22mm-90deg-elbow-enf107-22,Endfeed 22mm 90Deg Elbow,ENF107/22,£1.76,£1.47,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/15mm-x-3-4-mi-straight-adaptor-compression-cfi302-15x3-4,15mm X 3/4 Mi Straight Adaptor Compression,CFI302/15X3/4,£3.59,£2.99,Sold by / EA,Primaflow,Each
